 Total battles: 1042648
 Avg. weight/team: 0.003
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Landorus-Therian   | 52.75248% | 587123 | 28.155% | 504567 | 31.251% | 
 | 2    | Ferrothorn         | 26.80834% | 382507 | 18.343% | 328434 | 20.342% | 
 | 3    | Weavile            | 23.76422% | 211884 | 10.161% | 158578 |  9.822% | 
 | 4    | Heatran            | 21.85900% | 296072 | 14.198% | 241949 | 14.985% | 
 | 5    | Dragapult          | 19.38359% | 411211 | 19.720% | 303664 | 18.808% | 
 | 6    | Corviknight        | 19.22510% | 292038 | 14.005% | 233144 | 14.440% | 
 | 7    | Toxapex            | 16.58921% | 259522 | 12.445% | 206374 | 12.782% | 
 | 8    | Tapu Lele          | 16.27401% | 185172 |  8.880% | 142634 |  8.834% | 
 | 9    | Garchomp           | 15.34979% | 338991 | 16.256% | 262360 | 16.249% | 
 | 10   | Clefable           | 15.28333% | 239988 | 11.509% | 181271 | 11.227% | 
 | 11   | Tapu Fini          | 15.27644% | 186771 |  8.957% | 154957 |  9.597% | 
 | 12   | Tornadus-Therian   | 14.99289% | 115513 |  5.539% | 92090  |  5.704% | 
 | 13   | Tapu Koko          | 14.83100% | 175244 |  8.404% | 143574 |  8.892% | 
 | 14   | Melmetal           | 13.32919% | 195594 |  9.380% | 157407 |  9.749% | 
 | 15   | Urshifu-Rapid-Strike | 13.09070% | 237792 | 11.403% | 186297 | 11.538% | 
 | 16   | Kartana            | 12.75396% | 250615 | 12.018% | 189467 | 11.735% | 
 | 17   | Slowking-Galar     | 12.16916% | 130587 |  6.262% | 103207 |  6.392% | 
 | 18   | Zeraora            | 10.77433% | 163729 |  7.852% | 123249 |  7.634% | 
 | 19   | Hippowdon          | 10.64673% | 93567  |  4.487% | 80909  |  5.011% | 
 | 20   | Dragonite          | 10.57616% | 204333 |  9.799% | 149064 |  9.232% | 
 | 21   | Slowbro            | 10.05917% | 121748 |  5.838% | 97924  |  6.065% | 
 | 22   | Zapdos             |  9.48963% | 201064 |  9.642% | 161911 | 10.028% | 
 | 23   | Magnezone          |  8.89052% | 150641 |  7.224% | 117643 |  7.286% | 
 | 24   | Rillaboom          |  8.84478% | 192589 |  9.236% | 145905 |  9.037% | 
 | 25   | Zapdos-Galar       |  7.77389% | 83558  |  4.007% | 64507  |  3.995% | 
 | 26   | Tyranitar          |  7.44624% | 164288 |  7.878% | 133832 |  8.289% | 
 | 27   | Victini            |  7.39346% | 95883  |  4.598% | 75509  |  4.677% | 
 | 28   | Buzzwole           |  7.03089% | 98002  |  4.700% | 75909  |  4.701% | 
 | 29   | Nihilego           |  6.94353% | 34760  |  1.667% | 26246  |  1.626% | 
 | 30   | Volcarona          |  6.42948% | 222338 | 10.662% | 160432 |  9.936% | 
 | 31   | Blaziken           |  5.93299% | 98420  |  4.720% | 72629  |  4.498% | 
 | 32   | Blissey            |  5.73488% | 171765 |  8.237% | 130040 |  8.054% | 
 | 33   | Moltres-Galar      |  5.72255% | 36237  |  1.738% | 26372  |  1.633% | 
 | 34   | Kyurem             |  5.71471% | 73538  |  3.527% | 54970  |  3.405% | 
 | 35   | Blacephalon        |  5.67280% | 135525 |  6.499% | 101275 |  6.273% | 
 | 36   | Skarmory           |  5.66967% | 60396  |  2.896% | 50897  |  3.152% | 
 | 37   | Mew                |  5.49203% | 141916 |  6.806% | 114486 |  7.091% | 
 | 38   | Celesteela         |  5.36063% | 39152  |  1.878% | 31458  |  1.948% | 
 | 39   | Pelipper           |  5.14911% | 131892 |  6.325% | 119451 |  7.398% | 
 | 40   | Chansey            |  4.97765% | 39510  |  1.895% | 29811  |  1.846% | 
 | 41   | Rotom-Wash         |  4.38649% | 88592  |  4.248% | 75755  |  4.692% | 
 | 42   | Nidoking           |  4.07739% | 61235  |  2.937% | 48393  |  2.997% | 
 | 43   | Slowking           |  4.01540% | 37031  |  1.776% | 29430  |  1.823% | 
 | 44   | Barraskewda        |  4.01313% | 117316 |  5.626% | 88334  |  5.471% | 
